SYM_ROOT,DATE,Time_H,Size_H,return
AAPL,20120103,9,21092,0.005302900711126356
AAPL,20120103,10,12041,-0.0010930820054410916
AAPL,20120103,11,9473,-1.458576429404956E-4
AAPL,20120103,12,5718,-0.002504741987257501
AAPL,20120103,13,8103,0.0023156047384585107
AAPL,20120103,14,7783,0.0020665677955800316
AAPL,20120103,15,15334,-0.0017468520270762726
GOOG,20120103,9,8314,0.006056815061178277
GOOG,20120103,10,8080,8.037366170272154E-4
GOOG,20120103,11,6776,0.0032133870918846885
GOOG,20120103,12,6619,-0.003776092801256684
GOOG,20120103,13,6517,1.5147842947150548E-5
GOOG,20120103,14,8453,0.006965897389302839
GOOG,20120103,15,17496,9.169071669071874E-4
IBM,20120103,9,14064,0.003090531251665224
IBM,20120103,10,12055,7.964742738808329E-4
IBM,20120103,11,12863,-0.0020154874297231115
IBM,20120103,12,11694,-0.008238983681496746
IBM,20120103,13,5109,0.001018002571796111
IBM,20120103,14,9033,8.028689182678223E-4
IBM,20120103,15,14450,-0.002515117461336752
MSFT,20120103,9,17231,7.538635506973076E-4
MSFT,20120103,10,23579,0.007906626506024129
MSFT,20120103,11,33155,0.003734129947722101
MSFT,20120103,12,18342,-3.718854592786003E-4
MSFT,20120103,13,12632,0.0011156563778356688
MSFT,20120103,14,13715,0.0018566654288897405
MSFT,20120103,15,59546,-0.0059303187546330665
